Taxa,clade
Tolypothrix,Tolypothrix
Nostoc,Nostoc
Calothrix,Scytonema
Scytonema,Scytonema
Chroococcidiopsis,Chroococcidiopsis
Wilmottia,C-P
Pycnacronema,C-P
Parifilum,C-P
Potamolinea,C-P
Arizonema,C-P
Crustifilum,C-P
Coleofasiculus,Coleofasiculus
Allocoleopsis,Allocoleopsis
Crassifilum,Allocoleopsis
Konicacronema,Allocoleopsis
Porphyrosiphon,Allocoleopsis
Lyngbya,Allocoleopsis
Pleurocapsa,Pleurocapsa
Microcoleus,Microcoleus
Planktothrix,Schizothrix
Unidentified,Unidentified
Schizothrix,Schizothrix
Myxacorys,Schizothrix
Leptolyngbya,Schizothrix